V,A,InnerReactance,expo
0.2,20,9.97E+03,-6
0.398,40,9.97E+03,-6
0.696,69.9,9.97E+03,-6
0.8,27,3.00E+04,-6
1,10.1,1.00E+05,-6
2,20.8,1.00E+05,-6
4,41,1.00E+05,-6
6,62,1.00E+05,-6
8,82,1.00E+05,-6
9.8,98.2,1.00E+05,-6
